id;d1;d2;cluster
C1A1D1s1;0.22896;0.30303;0
C1A1D1s2;0.22896;0.28956;0
C1A1D1s3;0.22896;0.27273000000000003;0
C1A1D1s4;0.23232;0.25926;0
C1A1D1s5;0.23569;0.24242;0
C1A1D1s6;0.24242;0.23232;0
C1A1D1s7;0.25926;0.22222;0
C1A1D1s8;0.27609;0.21212;0
C1A1D1s9;0.2963;0.21212;0
C1A1D1s10;0.32323;0.21212;0
C1A1D1s11;0.35017;0.21886;0
C1A1D1s12;0.37037;0.21886;0
C1A1D1s13;0.38721;0.23569;0
C1A1D1s14;0.39731;0.24916;0
C1A1D1s15;0.40404;0.26936;0
C1A1D1s16;0.40404;0.2862;0
C1A1D1s17;0.40404;0.3064;0
C1A1D1s18;0.39731;0.3266;0
C1A1D1s19;0.21886;0.3165;0
C1A1D1s20;0.21886;0.29966;0
C1A1D1s21;0.21886;0.28956;0
C1A1D1s22;0.22559;0.26936;0
C1A1D1s23;0.22222;0.2862;0
C1A1D1s24;0.22896;0.25253000000000003;0
C1A1D1s25;0.22896;0.23906;0
C1A1D1s26;0.24242;0.22896;0
C1A1D1s27;0.24916;0.21212;0
C1A1D1s28;0.26936;0.20202;0
C1A1D1s29;0.2862;0.20202;0
C1A1D1s30;0.30303;0.20202;0
C1A1D1s31;0.31987;0.20202;0
C1A1D1s32;0.32997;0.20202;0
C1A1D1s33;0.34343;0.20202;0
C1A1D1s34;0.3569;0.20875;0
C1A1D1s35;0.38384;0.20875;0
C1A1D1s36;0.39731;0.22559;0
C1A1D1s37;0.37037;0.22559;0
C1A1D1s38;0.40741;0.23569;0
C1A1D1s39;0.4175100000000001;0.25589;0
C1A1D1s40;0.4175100000000001;0.26936;0
C1A1D1s41;0.4175100000000001;0.28956;0
C1A1D1s42;0.42088;0.3064;0
C1A1D1s43;0.41077;0.31987;0
C1A1D1s44;0.20875;0.31313;0
C1A1D1s45;0.20875;0.2862;0
C1A1D1s46;0.20875;0.2963;0
C1A1D1s47;0.21549;0.27946;0
C1A1D1s48;0.20875;0.26936;0
C1A1D1s49;0.21549;0.25253000000000003;0
C1A1D1s50;0.21549;0.26599;0
C1A1D1s51;0.21886;0.23569;0
C1A1D1s52;0.22222;0.22559;0
C1A1D1s53;0.22896;0.21886;0
C1A1D1s54;0.23569;0.20539;0
C1A1D1s55;0.25589;0.19529;0
C1A1D1s56;0.26599;0.19192;0
C1A1D1s57;0.27273000000000003;0.19192;0
C1A1D1s58;0.28956;0.18855;0
C1A1D1s59;0.3064;0.18855;0
C1A1D1s60;0.31987;0.18855;0
C1A1D1s61;0.34343;0.18519;0
C1A1D1s62;0.36364;0.18519;0
C1A1D1s63;0.38384;0.20202;0
C1A1D1s64;0.37037;0.20202;0
C1A1D1s65;0.35354;0.19192;0
C1A1D1s66;0.33333;0.19192;0
C1A1D1s67;0.3670000000000001;0.19865;0
C1A1D1s68;0.36364;0.21212;0
C1A1D1s69;0.39394;0.21212;0
C1A1D1s70;0.40404;0.22222;0
C1A1D1s71;0.41414;0.23569;0
C1A1D1s72;0.42088;0.24579;0
C1A1D1s73;0.42424;0.26599;0
C1A1D1s74;0.4276100000000001;0.2862;0
C1A1D1s75;0.4276100000000001;0.29966;0
C1A1D1s76;0.42424;0.3165;0
C1A1D1s77;0.41077;0.32997;0
C1A1D1s78;0.32997;0.18182;0
C1A1D1s79;0.30976;0.17845;0
C1A1D1s80;0.28956;0.17845;0
C1A1D1s81;0.27946;0.17845;0
C1A1D1s82;0.26263000000000003;0.18182;0
C1A1D1s83;0.23906;0.19192;0
C1A1D1s84;0.22896;0.19865;0
C1A1D1s85;0.37374;0.23569;0
C1A1D1s86;0.39731;0.23906;0
C1A1D1s87;0.41077;0.25253000000000003;0
C1A1D1s88;0.22222;0.20875;0
C1A1D1s89;0.21549;0.21886;0
C1A1D1s90;0.20875;0.23232;0
C1A1D1s91;0.20202;0.24579;0
C1A1D1s92;0.19865;0.25926;0
C1A1D1s93;0.19865;0.26599;0
C1A1D1s94;0.19865;0.27609;0
